Priceperweek, Population, Monthlyincome, Averageparkingpermonth, Numberofweeklyriders
          15,    1800000,          5800,                     50,               192000
          15,    1790000,          6200,                     50,               190400
          15,    1780000,          6400,                     60,               191200
          25,    1778000,          6500,                     60,               177600
          25,    1750000,          6550,                     60,               176800
          25,    1740000,          6580,                     70,               178400
          25,    1725000,          8200,                     75,               180800
          30,    1725000,          8600,                     75,               175200
          30,    1720000,          8800,                     75,               174400
          30,    1705000,          9200,                     80,               173920
          30,    1710000,          9630,                     80,               172800
          40,    1700000,         10570,                     80,               163200
          40,    1695000,         11330,                     85,               161600
          40,    1695000,         11600,                    100,               161600
          40,    1690000,         11800,                    105,               160800
          40,    1630000,         11830,                    105,               159200
          65,    1640000,         12650,                    105,               148800
         102,    1635000,         13000,                    110,               115696
          75,    1630000,         13224,                    125,               147200
          75,    1620000,         13766,                    130,               150400
          75,    1615000,         14010,                    150,               152000
          80,    1605000,         14468,                    155,               136000
          86,    1590000,         15000,                    165,               126240
          98,    1595000,         15200,                    175,               123888
          87,    1590000,         15600,                    175,               126080
          77,    1600000,         16000,                    190,               151680
          63,    1610000,         16200,                    200,               152800
          65,    1608000,         16450,                    205,               151920
          68,    1605000,         16700,                    210,               150880
          70,    1602000,         17050,                    215,               149760
          72,    1599000,         17300,                    220,               148640
          74,    1595000,         17620,                    225,               147520
          76,    1592000,         17980,                    230,               146240
          78,    1589000,         18250,                    235,               145120
          80,    1585000,         18600,                    240,               144000
          82,    1581000,         18900,                    245,               142720
          84,    1578000,         19220,                    250,               141440
          86,    1575000,         19580,                    255,               140160
          88,    1572000,         19900,                    260,               138880
          90,    1568000,         20250,                    265,               137600
          92,    1565000,         20600,                    270,               136320
          94,    1562000,         21000,                    275,               135040
          96,    1558000,         21450,                    280,               133760
          98,    1555000,         21800,                    285,               132480
         100,    1552000,         22200,                    290,               131200
         102,    1548000,         22650,                    295,               129920
         104,    1545000,         23000,                    300,               128640
         106,    1542000,         23450,                    305,               127360
         108,    1538000,         23900,                    310,               126080
         110,    1535000,         24400,                    315,               124800
         112,    1532000,         24850,                    320,               123520
         114,    1529000,         25300,                    325,               122240
         116,    1525000,         25800,                    330,               120960
         118,    1522000,         26300,                    335,               119680
         120,    1518000,         26800,                    340,               118400
         122,    1515000,         27350,                    345,               117120
         124,    1512000,         27900,                    350,               115840
         126,    1508000,         28400,                    355,               114560
         128,    1505000,         28950,                    360,               113280
         130,    1502000,         29500,                    365,               112000
         132,    1498000,         30100,                    370,               110720
         134,    1495000,         30700,                    375,               109440
         136,    1492000,         31350,                    380,               108160
         138,    1488000,         32000,                    385,               106880
         140,    1485000,         32650,                    390,               105600
         142,    1482000,         33300,                    395,               104320
         144,    1478000,         34000,                    400,               103040
         146,    1475000,         34700,                    405,               101760
         148,    1472000,         35400,                    410,               100480
         150,    1468000,         36100,                    415,                99200
         152,    1465000,         36800,                    420,                97920
         154,    1462000,         37500,                    425,                96640
         156,    1458000,         38250,                    430,                95360
         158,    1455000,         39000,                    435,                94080
         160,    1452000,         39800,                    440,                92800
         162,    1448000,         40600,                    445,                91520
         164,    1445000,         41400,                    450,                90240
         166,    1442000,         42200,                    455,                88960
         168,    1438000,         43050,                    460,                87680
         170,    1435000,         43900,                    465,                86400
         172,    1432000,         44800,                    470,                85120
         174,    1428000,         45700,                    475,                83840
         176,    1425000,         46600,                    480,                82560
         178,    1422000,         47500,                    485,                81280
         180,    1418000,         48400,                    490,                80000
         182,    1415000,         49350,                    495,                78720
         184,    1412000,         50300,                    500,                77440
         186,    1408000,         51250,                    505,                76160
         188,    1405000,         52200,                    510,                74880
         190,    1402000,         53200,                    515,                73600
         192,    1398000,         54200,                    520,                72320
         194,    1395000,         55250,                    525,                71040
         196,    1392000,         56300,                    530,                69760
         198,    1388000,         57400,                    535,                68480
         200,    1385000,         58500,                    540,                67200
         202,    1382000,         59600,                    545,                65920
         204,    1378000,         60800,                    550,                64640
         206,    1375000,         62000,                    555,                63360
         208,    1372000,         63200,                    560,                62080
         210,    1368000,         64500,                    565,                60800
         212,    1365000,         65800,                    570,                59520
         214,    1362000,         67100,                    575,                58240
         216,    1358000,         68400,                    580,                56960
         218,    1355000,         69800,                    585,                55680
         220,    1352000,         71200,                    590,                54400
