Priceperweek,Population,Monthlyincome,Averageparkingpermonth,Numberofweeklyriders
320,9450000,22000,850,482300
340,9320000,22500,900,478900
360,9210000,23000,920,475600
380,9150000,23500,950,472100
400,9080000,24000,980,468800
420,8990000,24500,1000,465400
450,8900000,25000,1050,462700
470,8820000,25500,1080,459200
490,8740000,26000,1100,456800
510,8660000,26500,1150,453900
530,8580000,27000,1180,450400
550,8500000,27500,1200,447200
570,8420000,28000,1250,444800
590,8340000,28500,1280,441300
610,8260000,29000,1300,438900
630,8180000,29500,1350,435400
650,8100000,30000,1380,432800
670,8020000,30500,1400,429900
690,7940000,31000,1450,426300
710,7860000,31500,1480,423700
730,7780000,32000,1500,420400
750,7700000,32500,1550,417100
770,7620000,33000,1580,414300
790,7540000,33500,1600,410900
810,7460000,34000,1650,407700
830,7380000,34500,1680,404600
850,7300000,35000,1700,401200
870,7220000,35500,1750,398100
890,7140000,36000,1780,394700
910,7060000,36500,1800,391800
930,6980000,37000,1850,388300
950,6900000,37500,1880,385200
970,6820000,38000,1900,382100
990,6740000,38500,1950,379400
1010,6660000,39000,1980,375900
1030,6580000,39500,2000,372700
1050,6500000,40000,2050,369600
1070,6420000,40500,2080,366200
1090,6340000,41000,2100,363300
1110,6260000,41500,2150,360100
1130,6180000,42000,2180,357400
1150,6100000,42500,2200,354200
1170,6020000,43000,2250,351300
1190,5940000,43500,2280,348100
1210,5860000,44000,2300,345200
1230,5780000,44500,2350,342700
1250,5700000,45000,2380,339400
1270,5620000,45500,2400,336600
1290,5540000,46000,2450,333100
1310,5460000,46500,2480,330400
1330,5380000,47000,2500,327200
1350,5300000,47500,2550,324100
1370,5220000,48000,2580,321400
1390,5140000,48500,2600,318300
1410,5060000,49000,2650,315700
1430,4980000,49500,2680,312900
1450,4900000,50000,2700,309600
1470,4820000,50500,2750,306800
1490,4740000,51000,2780,303400
1510,4660000,51500,2800,300900
1530,4580000,52000,2850,297800
1550,4500000,52500,2880,294700
1570,4420000,53000,2900,291400
1590,4340000,53500,2950,288900
1610,4260000,54000,2980,285700
1630,4180000,54500,3000,282800
1650,4100000,55000,3050,279900
1670,4020000,55500,3080,276800
1690,3940000,56000,3100,273700
1710,3860000,56500,3150,270400
1730,3780000,57000,3180,267600
1750,3700000,57500,3200,264900
1770,3620000,58000,3250,261700
1790,3540000,58500,3280,258900
1810,3460000,59000,3300,255800
1830,3380000,59500,3350,252700
1850,3300000,60000,3380,249900
1870,3220000,60500,3400,246700
1890,3140000,61000,3450,243900
1910,3060000,61500,3480,240600
1930,2980000,62000,3500,237400
1950,2900000,62500,3550,234800
1970,2820000,63000,3580,231600
1990,2740000,63500,3600,228700
2010,2660000,64000,3650,225400
2030,2580000,64500,3680,222300
2050,2500000,65000,3700,219700
2070,2420000,65500,3750,216400
2090,2340000,66000,3780,213300
2110,2260000,66500,3800,210100
2130,2180000,67000,3850,206900
2150,2100000,67500,3880,203600
2170,2020000,68000,3900,200400
2190,1940000,68500,3950,197200
2210,1860000,69000,3980,194300
2230,1780000,69500,4000,191100
2250,1700000,70000,4050,188000
2270,1620000,70500,4080,184900
2290,1540000,71000,4100,181700
2310,1460000,71500,4150,178600
2330,1452000,72000,4180,176200
2350,1445000,72500,4200,173900
2370,1438000,73000,4250,171800
2390,1431000,73500,4280,169700
2410,1424000,74000,4300,167900
2430,1417000,74500,4350,165600
2450,1410000,75000,4380,163800
2470,1403000,75500,4400,161900
2490,1396000,76000,4450,160100
2510,1389000,76500,4480,158400
2530,1382000,77000,4500,156600
2550,1375000,77500,4550,154900
2570,1368000,78000,4580,153100
2590,1361000,78500,4600,151400
2610,1354000,79000,4650,149600
2630,1347000,79500,4680,147900
2650,1340000,80000,4700,146100
2670,1333000,80500,4750,144400
2690,1326000,81000,4780,142600
2710,1319000,81500,4800,140900
2730,1312000,82000,4850,139100
2750,1305000,82500,4880,137400
2770,1298000,83000,4900,135600
2790,1291000,83500,4950,133900
2810,1284000,84000,4980,132100
2830,1277000,84500,5000,130400
2850,1270000,85000,5050,128700
2870,1263000,85500,5080,127100
2890,1256000,86000,5100,125400
2910,1249000,86500,5150,123800
2930,1242000,87000,5180,122200
2950,1235000,87500,5200,120700
2970,1228000,88000,5250,119100
2990,1221000,88500,5280,117600
3010,1214000,89000,5300,116100
3030,1207000,89500,5350,114600
3050,1200000,90000,5380,113100
3070,1193000,90500,5400,111700
